대분류,중분류,직무명,직무설명
미용·여행·숙박·음식·경비·청소직,돌봄 서비스직(간병·육아),요양보호사 및 간병인,어르신이나 환자를 돌보고 일상생활을 도와드리는 일
미용·여행·숙박·음식·경비·청소직,돌봄 서비스직(간병·육아),육아도우미,아이를 돌보고 함께 시간을 보내는 일
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,이용사,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,미용사,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,피부 및 체형관리사,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,네일아티스트,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,메이크업아티스트 및 뷰티매니저,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,분장사,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,반려동물미용사,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,수의사보조원,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,웨딩플래너,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,혼례종사원,
미용·여행·숙박·음식·경비·청소직,미용·예식 서비스직,장례지도사 및 장례상담원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,여행상품개발자,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,여행사무원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,자연 및 문화해설사,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,여행안내원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,항공기객실승무원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,선박객실승무원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,열차객실승무원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,숙박시설서비스원,
미용·여행·숙박·음식·경비·청소직,여행·숙박·오락 서비스직,오락시설서비스원,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,주방장,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,한식조리사,식당이나 급식소에서 한식을 만드는 일
미용·여행·숙박·음식·경비·청소직,음식 서비스직,중식조리사,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,양식조리사,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,일식조리사,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,바텐터,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,음료조리사,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,패스트푸드준비원,
미용·여행·숙박·음식·경비·청소직,음식 서비스직,홀서빙원,식당에서 주문을 받고 음식을 가져다 드리는 일
미용·여행·숙박·음식·경비·청소직,음식 서비스직,주방보조원,식당 주방에서 재료를 다듬고 설거지를 돕는 일
미용·여행·숙박·음식·경비·청소직,음식 서비스직,음식배달원,
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,청소원,건물 안을 청소하고 정리하는 일
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,환경미화원 및 재활용품수거원,거리나 공공시설을 청소하고 재활용품을 모으는 일
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,방역원,
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,세탁원(다림질원),세탁물을 세탁하고 다림질해서 정리하는 일
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,가사관리사,
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,계기검침원 및 가스점검원,
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,주차관리·안내원,주차장을 안내하고 관리하는 일
미용·여행·숙박·음식·경비·청소직,청소 및 기타 개인서비스직,검표원,
보건·의료직,보건·의료직,내과의사,
보건·의료직,보건·의료직,외과의사,
보건·의료직,보건·의료직,성형외과의사,
보건·의료직,보건·의료직,산부인과의사,
보건·의료직,보건·의료직,이비인후과의사,
보건·의료직,보건·의료직,안과의사,
보건·의료직,보건·의료직,정신과의사,
보건·의료직,보건·의료직,소아청소년과의사,
보건·의료직,보건·의료직,방사선과의사,
보건·의료직,보건·의료직,마취병리과의사,
보건·의료직,보건·의료직,비뇨기과의사,
보건·의료직,보건·의료직,피부과의사,
보건·의료직,보건·의료직,가정의학과의사,
보건·의료직,보건·의료직,일반의사,
보건·의료직,보건·의료직,한의사,
보건·의료직,보건·의료직,치과의사,
보건·의료직,보건·의료직,수의사,
보건·의료직,보건·의료직,약사,
보건·의료직,보건·의료직,한약사,
보건·의료직,보건·의료직,보건교사,
보건·의료직,보건·의료직,간호사,
보건·의료직,보건·의료직,영양사,
보건·의료직,보건·의료직,임상병리사,
보건·의료직,보건·의료직,방사선사,
보건·의료직,보건·의료직,치과기공사,
보건·의료직,보건·의료직,치과위생사,
보건·의료직,보건·의료직,물리치료사,
보건·의료직,보건·의료직,작업치료사,
보건·의료직,보건·의료직,임상심리사,
보건·의료직,보건·의료직,재활공학기사,
보건·의료직,보건·의료직,언어치료사,
보건·의료직,보건·의료직,청능사,
보건·의료직,보건·의료직,놀이치료사,
보건·의료직,보건·의료직,예술치료사,
보건·의료직,보건·의료직,응급구조사,
보건·의료직,보건·의료직,안경사,
보건·의료직,보건·의료직,보건의료정보관리사,
보건·의료직,보건·의료직,간호조무사,
보건·의료직,보건·의료직,안마사,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공제어장치조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공기계조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),판금원(판금기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),제관원(제관기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),단조원(단조기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),주조원(주조기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),용접원(용접기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도장원(도장기조작원),
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도금·금속분무기조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),유리·유리제품생산기계조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),점토제품생산기계조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),시멘트·광물제품생산기계조작원,
설치·정비·생산직,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),광석·석제품생산기계조작원,
설치·정비·생산직,기계 설치·정비·생산직,공업기계설치 및 정비원,
설치·정비·생산직,기계 설치·정비·생산직,승강기설치·정비원,
설치·정비·생산직,기계 설치·정비·생산직,크레인 및 지게차설치 및 정비원,
설치·정비·생산직,기계 설치·정비·생산직,냉동·냉장·공조기설치·정비원,
설치·정비·생산직,기계 설치·정비·생산직,보일러설치·정비원,
설치·정비·생산직,기계 설치·정비·생산직,건설·광업기계설치·정비원,
설치·정비·생산직,기계 설치·정비·생산직,농업용 및 기타기계장비설치 및 정비원,
설치·정비·생산직,기계 설치·정비·생산직,항공기정비원,
설치·정비·생산직,기계 설치·정비·생산직,헬리콥터정비원,
설치·정비·생산직,기계 설치·정비·생산직,선박정비원,
설치·정비·생산직,기계 설치·정비·생산직,철도기관차·전동차정비원,
설치·정비·생산직,기계 설치·정비·생산직,자동차정비원,
설치·정비·생산직,기계 설치·정비·생산직,자전거판매 및 정비원,
설치·정비·생산직,기계 설치·정비·생산직,오토바이정비원,
설치·정비·생산직,기계 설치·정비·생산직,금형원,
설치·정비·생산직,기계 설치·정비·생산직,금속공작기계조작원,
설치·정비·생산직,기계 설치·정비·생산직,냉·난방설비조작원,
설치·정비·생산직,기계 설치·정비·생산직,자동조립라인·산업용 로봇조작원,
설치·정비·생산직,기계 설치·정비·생산직,일반기계조립원,제품의 부품을 순서대로 조립하는 일
설치·정비·생산직,기계 설치·정비·생산직,자동차조립원,
설치·정비·생산직,기계 설치·정비·생산직,자동차부품조립·검사원,
설치·정비·생산직,기계 설치·정비·생산직,선박조립원,
설치·정비·생산직,섬유·의복 생산직,섬유제조기계조작원,
설치·정비·생산직,섬유·의복 생산직,직조기 및 편직기조작원,
설치·정비·생산직,섬유·의복 생산직,표백·염색기조작원,
설치·정비·생산직,섬유·의복 생산직,패턴사,
설치·정비·생산직,섬유·의복 생산직,재단사,
설치·정비·생산직,섬유·의복 생산직,재봉사,
설치·정비·생산직,섬유·의복 생산직,한복제조원,
설치·정비·생산직,섬유·의복 생산직,양장·양복제조원,
설치·정비·생산직,섬유·의복 생산직,의복·가죽·모피수선원,
설치·정비·생산직,섬유·의복 생산직,제화원,
설치·정비·생산직,섬유·의복 생산직,신발제조기계조작원 및 조립원,
설치·정비·생산직,섬유·의복 생산직,세탁기계조작원,
설치·정비·생산직,식품 가공·생산직,제과·제빵원,
설치·정비·생산직,식품 가공·생산직,떡제조원,
설치·정비·생산직,식품 가공·생산직,정육원 및 도축원,
설치·정비·생산직,식품 가공·생산직,김치·밑반찬 제조종사원,
설치·정비·생산직,식품 가공·생산직,식품·담배등급원,
설치·정비·생산직,식품 가공·생산직,육류·어패류·낙농품가공기계조작원,
설치·정비·생산직,식품 가공·생산직,제분·도정기계조작원,
설치·정비·생산직,식품 가공·생산직,곡물가공제품기계조작원,
설치·정비·생산직,식품 가공·생산직,과실·채소기계조작원,
설치·정비·생산직,식품 가공·생산직,음료제조기계조작원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,인쇄기계조작원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,사진인화·현상기조작원(사진수정 포함),
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,목재가공기계조작원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,펄프·종이제조장치조작원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,종이제품생산기계조작원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,가구제조·수리원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,가구조립원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,공예원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,귀금속·보석세공원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,악기제조원 및 조율사,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,간판제작·설치원,
설치·정비·생산직,인쇄·목재·공예 및 기타 설치·정비·생산직,주입·포장·상표부착기계조작원,제품을 상자에 담고 상표를 붙이는 일
설치·정비·생산직,전기·전자 설치·정비·생산직,산업전기공,
설치·정비·생산직,전기·전자 설치·정비·생산직,내선전기공,
설치·정비·생산직,전기·전자 설치·정비·생산직,외선전기공,
설치·정비·생산직,전기·전자 설치·정비·생산직,사무용 전자기기설치·수리원,
설치·정비·생산직,전기·전자 설치·정비·생산직,가전제품설치·수리원,
설치·정비·생산직,전기·전자 설치·정비·생산직,발전·배전장치조작원,
설치·정비·생산직,전기·전자 설치·정비·생산직,전기·전자설비조작원,건물의 전기·설비가 잘 작동하는지 점검하는 일
설치·정비·생산직,전기·전자 설치·정비·생산직,전기부품·제품생산기계조작원,
설치·정비·생산직,전기·전자 설치·정비·생산직,전자부품·제품생산기계조작원,
설치·정비·생산직,전기·전자 설치·정비·생산직,전기·전자부품·제품조립원,
설치·정비·생산직,정보통신 설치·정비직,컴퓨터설치·수리원,
설치·정비·생산직,정보통신 설치·정비직,이동전화기수리원,
설치·정비·생산직,정보통신 설치·정비직,방송장비설치·수리원,
설치·정비·생산직,정보통신 설치·정비직,통신장비설치·수리원,
설치·정비·생산직,정보통신 설치·정비직,방송·통신·인터넷케이블 설치·수리원,
설치·정비·생산직,화학·환경 설치·정비·생산직,석유·천연가스제조제어장치조작원,
설치·정비·생산직,화학·환경 설치·정비·생산직,화학물가공장치조작원,
설치·정비·생산직,화학·환경 설치·정비·생산직,타이어·고무제품생산기계조작원,
설치·정비·생산직,화학·환경 설치·정비·생산직,플라스틱제품생산기계조작원,
설치·정비·생산직,화학·환경 설치·정비·생산직,화학제품생산기계조작원(고무·플라스틱 제외),
설치·정비·생산직,화학·환경 설치·정비·생산직,고무·플라스틱 제품 조립원,
설치·정비·생산직,화학·환경 설치·정비·생산직,상·하수도처리장치조작원,
설치·정비·생산직,화학·환경 설치·정비·생산직,재활용 처리장치·소각로조작원,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축가(건축설계사),
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축구조기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축설비기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축감리기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축안전·환경기술자 및 건축품질기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건축시공기술자 및 견적원,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,토목구조설계기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,토목감리기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,토목안전·환경기술자 및 토목품질기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,토목시공기술자 및 견적원,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,조경기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,도시계획·설계가,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,교통계획·설계가,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,교통영향평가원,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,지적 및 측량기술자,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,지리정보시스템전문가,
연구직 및 공학 기술직,건설·채굴 연구개발직 및 공학기술직,건설자재시험원,
연구직 및 공학 기술직,인문·사회과학 연구직,철학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,역사학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,언어학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,교육학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,심리학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,정치학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,경제학연구원,
연구직 및 공학 기술직,인문·사회과학 연구직,사회학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,물리학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,화학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,수학 및 통계연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,생물학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,지질학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,천문 및 기상학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,자연과학시험원,
연구직 및 공학 기술직,자연·생명과학 연구직,의학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,약학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,농학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,수산학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,임학 및 산림학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,축산학 및 수의학연구원,
연구직 및 공학 기술직,자연·생명과학 연구직,생명과학시험원,
연구직 및 공학 기술직,자연·생명과학 연구직,농림어업시험원,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,컴퓨터하드웨어기술자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,통신기기·장비기술자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,통신기술개발자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,통신망운영기술자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,컴퓨터시스템설계 및 분석가,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,정보통신컨설턴트 및 감리원,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,시스템소프트웨어개발자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,응용소프트웨어개발자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,가상현실전문가,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,게임프로그래머,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,모바일앱개발자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,웹개발자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,웹기획자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,IT테스터 및 IT QA전문가,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,데이터베이스운영·관리자,
연구직 및 공학 기술직,정보통신 연구개발직 및 공학기술직,데이터분석가(빅데이터분석가),
